,DateTime,altitude,dt,easting,northing,xprev,yprev,xprevprev,yprevprev
3,2013-06-11 16:00,753,162.329051,-12274398.67,6634656.819,-12275350.45,6634626.954,-12275053.23,6635835.68
4,2013-06-11 17:00,748,162.374317,-12274406.46,6634655.062,-12274398.67,6634656.819,-12275350.45,6634626.954
5,2013-06-11 18:00,752,162.415961,-12274669.18,6634711.278,-12274406.46,6634655.062,-12274398.67,6634656.819
6,2013-06-11 19:00,759,162.458669,-12273139.65,6632499.816,-12274669.18,6634711.278,-12274406.46,6634655.062
7,2013-06-11 20:00,952,162.500289,-12276681.83,6634591.819,-12273139.65,6632499.816,-12274669.18,6634711.278
8,2013-06-11 21:00,829,162.541586,-12275731.17,6635169.805,-12276681.83,6634591.819,-12273139.65,6632499.816
9,2013-06-11 22:00,762,162.583553,-12275291.45,6635087.233,-12275731.17,6635169.805,-12276681.83,6634591.819
10,2013-06-11 23:00,777,162.624363,-12273560.44,6636304.812,-12275291.45,6635087.233,-12275731.17,6635169.805
11,2013-06-12 0:00,757,162.666759,-12274504.43,6634936.146,-12273560.44,6636304.812,-12275291.45,6635087.233
12,2013-06-12 1:00,767,162.708229,-12274374.18,6635043.312,-12274504.43,6634936.146,-12273560.44,6636304.812
13,2013-06-12 2:00,774,162.748056,-12275382.74,6636584.195,-12274374.18,6635043.312,-12274504.43,6634936.146
14,2013-06-12 3:00,755,162.793565,-12275151.19,6634577.765,-12275382.74,6636584.195,-12274374.18,6635043.312
15,2013-06-12 4:00,742,162.826667,-12274408.69,6634653.305,-12275151.19,6634577.765,-12275382.74,6636584.195
16,2013-06-12 5:00,753,162.874572,-12273601.62,6635487.802,-12274408.69,6634653.305,-12275151.19,6634577.765
19,2013-06-12 9:00,779,163.034525,-12273613.87,6635473.746,-12273609.42,6635477.26,-12273609.42,6635479.017
22,2013-06-12 16:00,994,163.333183,-12276052.88,6634604.116,-12274856.19,6635255.891,-12275314.83,6634472.362
23,2013-06-12 17:00,768,163.375266,-12275447.3,6635101.288,-12276052.88,6634604.116,-12274856.19,6635255.891
24,2013-06-12 18:00,760,163.416725,-12274103.67,6634786.819,-12275447.3,6635101.288,-12276052.88,6634604.116
25,2013-06-12 19:00,752,163.458252,-12274497.75,6634930.876,-12274103.67,6634786.819,-12275447.3,6635101.288
26,2013-06-12 20:00,936,163.499977,-12276577.19,6634570.738,-12274497.75,6634930.876,-12274103.67,6634786.819
27,2013-06-12 21:00,794,163.53934,-12273286.59,6635326.166,-12276577.19,6634570.738,-12274497.75,6634930.876
28,2013-06-12 22:00,745,163.584433,-12274561.2,6634964.255,-12273286.59,6635326.166,-12276577.19,6634570.738
29,2013-06-12 23:00,787,163.624884,-12274025.75,6635890.147,-12274561.2,6634964.255,-12273286.59,6635326.166
30,2013-06-13 0:00,754,163.665116,-12274408.69,6634663.846,-12274025.75,6635890.147,-12274561.2,6634964.255
31,2013-06-13 1:00,747,163.705683,-12275740.07,6635937.587,-12274408.69,6634663.846,-12274025.75,6635890.147
32,2013-06-13 2:00,754,163.747523,-12274414.26,6634662.089,-12275740.07,6635937.587,-12274408.69,6634663.846
33,2013-06-13 3:00,758,163.788611,-12274678.08,6634721.818,-12274414.26,6634662.089,-12275740.07,6635937.587
34,2013-06-13 4:00,766,163.831053,-12274361.94,6635015.203,-12274678.08,6634721.818,-12274414.26,6634662.089
35,2013-06-13 5:00,636,163.879074,-12273213.12,6635730.261,-12274361.94,6635015.203,-12274678.08,6634721.818
36,2013-06-13 6:00,684,163.907361,-12273577.13,6635529.968,-12273213.12,6635730.261,-12274361.94,6635015.203
37,2013-06-13 7:00,698,163.966829,-12273620.55,6635447.393,-12273577.13,6635529.968,-12273213.12,6635730.261
38,2013-06-13 8:00,772,164.000359,-12273612.76,6635494.829,-12273620.55,6635447.393,-12273577.13,6635529.968
39,2013-06-13 9:00,767,164.033924,-12273602.74,6635468.476,-12273612.76,6635494.829,-12273620.55,6635447.393
42,2013-06-13 16:00,782,164.33081,-12274400.9,6634670.873,-12274269.54,6635382.387,-12274482.16,6635143.452
43,2013-06-13 17:00,759,164.380729,-12274511.1,6634732.359,-12274400.9,6634670.873,-12274269.54,6635382.387
44,2013-06-13 18:00,738,164.421921,-12274672.52,6634716.548,-12274511.1,6634732.359,-12274400.9,6634670.873
45,2013-06-13 19:00,765,164.458727,-12274897.38,6634034.954,-12274672.52,6634716.548,-12274511.1,6634732.359
46,2013-06-13 20:00,759,164.500197,-12275142.29,6634967.769,-12274897.38,6634034.954,-12274672.52,6634716.548
47,2013-06-13 21:00,763,164.541551,-12275287,6635092.503,-12275142.29,6634967.769,-12274897.38,6634034.954
48,2013-06-13 22:00,758,164.582708,-12275475.13,6635141.695,-12275287,6635092.503,-12275142.29,6634967.769
49,2013-06-13 23:00,762,164.626215,-12275275.87,6635060.88,-12275475.13,6635141.695,-12275287,6635092.503
50,2013-06-14 0:00,754,164.664282,-12274729.29,6635522.94,-12275275.87,6635060.88,-12275475.13,6635141.695
51,2013-06-14 1:00,752,164.702338,-12274400.9,6634655.062,-12274729.29,6635522.94,-12275275.87,6635060.88
52,2013-06-14 2:00,762,164.753993,-12274455.44,6635663.496,-12274400.9,6634655.062,-12274729.29,6635522.94
53,2013-06-14 3:00,784,164.796458,-12274007.94,6635825.138,-12274455.44,6635663.496,-12274400.9,6634655.062
54,2013-06-14 4:00,757,164.828912,-12275207.96,6634482.903,-12274007.94,6635825.138,-12274455.44,6635663.496
55,2013-06-14 5:00,782,164.879294,-12274262.86,6635508.885,-12275207.96,6634482.903,-12274007.94,6635825.138
60,2013-06-14 16:00,759,165.333438,-12275598.7,6635846.222,-12275019.83,6636044.765,-12274856.19,6635275.217
61,2013-06-14 17:00,897,165.375127,-12274081.41,6635069.664,-12275598.7,6635846.222,-12275019.83,6636044.765
62,2013-06-14 18:00,800,165.416701,-12274201.64,6635074.935,-12274081.41,6635069.664,-12275598.7,6635846.222
63,2013-06-14 19:00,752,165.458021,-12275714.47,6634625.197,-12274201.64,6635074.935,-12274081.41,6635069.664
64,2013-06-14 20:00,755,165.499769,-12275131.15,6635587.947,-12275714.47,6634625.197,-12274201.64,6635074.935
65,2013-06-14 21:00,752,165.541655,-12275619.85,6636255.613,-12275131.15,6635587.947,-12275714.47,6634625.197
66,2013-06-14 22:00,1021,165.58331,-12273730.75,6635229.538,-12275619.85,6636255.613,-12275131.15,6635587.947
67,2013-06-14 23:00,741,165.625289,-12276574.97,6635789.998,-12273730.75,6635229.538,-12275619.85,6636255.613
68,2013-06-15 0:00,768,165.666736,-12274375.29,6635046.826,-12276574.97,6635789.998,-12273730.75,6635229.538
69,2013-06-15 1:00,764,165.709282,-12274398.67,6635013.446,-12274375.29,6635046.826,-12276574.97,6635789.998
70,2013-06-15 2:00,765,165.746042,-12275406.11,6635124.127,-12274398.67,6635013.446,-12274375.29,6635046.826
71,2013-06-15 3:00,758,165.789873,-12275284.77,6634482.903,-12275406.11,6635124.127,-12274398.67,6635013.446
72,2013-06-15 4:00,775,165.842558,-12273830.94,6635380.63,-12275284.77,6634482.903,-12275406.11,6635124.127
73,2013-06-15 5:00,762,165.867708,-12275582,6635143.452,-12273830.94,6635380.63,-12275284.77,6634482.903
74,2013-06-15 6:00,759,165.918322,-12275582,6635141.695,-12275582,6635143.452,-12273830.94,6635380.63
77,2013-06-15 10:00,757,166.078657,-12275576.43,6635143.452,-12275577.55,6635138.181,-12275578.66,6635141.695
78,2013-06-15 11:00,764,166.115,-12275288.11,6635087.233,-12275576.43,6635143.452,-12275577.55,6635138.181
81,2013-06-15 16:00,760,166.333102,-12274446.54,6635015.203,-12275177.91,6635760.129,-12275169,6637345.08
82,2013-06-15 17:00,782,166.375289,-12274252.84,6636413.753,-12274446.54,6635015.203,-12275177.91,6635760.129
83,2013-06-15 18:00,786,166.416447,-12274311.84,6635626.6,-12274252.84,6636413.753,-12274446.54,6635015.203
84,2013-06-15 19:00,757,166.458669,-12275230.23,6635825.138,-12274311.84,6635626.6,-12274252.84,6636413.753
85,2013-06-15 20:00,769,166.500301,-12274459.9,6635129.397,-12275230.23,6635825.138,-12274311.84,6635626.6
86,2013-06-15 21:00,756,166.541354,-12275094.42,6635681.066,-12274459.9,6635129.397,-12275230.23,6635825.138
87,2013-06-15 22:00,767,166.583056,-12274465.46,6635138.181,-12275094.42,6635681.066,-12274459.9,6635129.397
88,2013-06-15 23:00,763,166.624803,-12276090.73,6634867.631,-12274465.46,6635138.181,-12275094.42,6635681.066
89,2013-06-16 0:00,763,166.666852,-12274840.61,6636180.059,-12276090.73,6634867.631,-12274465.46,6635138.181
90,2013-06-16 1:00,758,166.707905,-12275909.28,6636297.783,-12274840.61,6636180.059,-12276090.73,6634867.631
91,2013-06-16 2:00,806,166.751169,-12272373.77,6635712.691,-12275909.28,6636297.783,-12274840.61,6636180.059
92,2013-06-16 3:00,786,166.790556,-12274025.75,6635863.792,-12272373.77,6635712.691,-12275909.28,6636297.783
93,2013-06-16 4:00,749,166.829051,-12274877.35,6635262.919,-12274025.75,6635863.792,-12272373.77,6635712.691
94,2013-06-16 5:00,776,166.8714,-12273828.72,6635377.116,-12274877.35,6635262.919,-12274025.75,6635863.792
95,2013-06-16 6:00,778,166.915058,-12273828.72,6635382.387,-12273828.72,6635377.116,-12274877.35,6635262.919
96,2013-06-16 7:00,783,166.963079,-12273833.17,6635384.144,-12273828.72,6635382.387,-12273828.72,6635377.116
97,2013-06-16 8:00,779,166.991169,-12273816.47,6635363.061,-12273833.17,6635384.144,-12273828.72,6635382.387
100,2013-06-16 12:00,753,167.157188,-12274552.29,6634957.228,-12274398.67,6635016.96,-12273805.34,6635375.359
103,2013-06-16 16:00,776,167.326782,-12274979.76,6636039.494,-12274855.08,6636271.427,-12275550.83,6634707.764
104,2013-06-16 17:00,756,167.380127,-12274934.12,6635865.549,-12274979.76,6636039.494,-12274855.08,6636271.427
105,2013-06-16 18:00,746,167.421319,-12274450.99,6634716.548,-12274934.12,6635865.549,-12274979.76,6636039.494
106,2013-06-16 19:00,780,167.459861,-12274419.82,6635635.385,-12274450.99,6634716.548,-12274934.12,6635865.549
107,2013-06-16 20:00,763,167.500914,-12274979.76,6636043.008,-12274419.82,6635635.385,-12274450.99,6634716.548
108,2013-06-16 21:00,768,167.541123,-12275407.23,6635124.127,-12274979.76,6636043.008,-12274419.82,6635635.385
109,2013-06-16 22:00,761,167.583681,-12274871.78,6635257.648,-12275407.23,6635124.127,-12274979.76,6636043.008
110,2013-06-16 23:00,750,167.625,-12275084.4,6635707.42,-12274871.78,6635257.648,-12275407.23,6635124.127
111,2013-06-17 0:00,760,167.66625,-12274859.53,6635252.377,-12275084.4,6635707.42,-12274871.78,6635257.648
112,2013-06-17 1:00,757,167.709711,-12275540.81,6637248.427,-12274859.53,6635252.377,-12275084.4,6635707.42
113,2013-06-17 2:00,760,167.751204,-12274402.01,6634653.305,-12275540.81,6637248.427,-12274859.53,6635252.377
114,2013-06-17 3:00,785,167.801481,-12271750.38,6635066.151,-12274402.01,6634653.305,-12275540.81,6637248.427
115,2013-06-17 4:00,813,167.82456,-12271758.17,6635069.664,-12271750.38,6635066.151,-12274402.01,6634653.305
116,2013-06-17 5:00,784,167.872072,-12273611.64,6635479.017,-12271758.17,6635069.664,-12271750.38,6635066.151
117,2013-06-17 6:00,779,167.925787,-12273611.64,6635480.774,-12273611.64,6635479.017,-12271758.17,6635069.664
118,2013-06-17 7:00,795,167.95662,-12273614.98,6635487.802,-12273611.64,6635480.774,-12273611.64,6635479.017
121,2013-06-17 11:00,749,168.122014,-12274322.97,6634460.065,-12273614.98,6635470.233,-12273604.96,6635512.399
122,2013-06-17 12:00,749,168.16147,-12274327.43,6634451.282,-12274322.97,6634460.065,-12273614.98,6635470.233
123,2013-06-17 13:00,758,168.203657,-12274320.75,6634482.903,-12274327.43,6634451.282,-12274322.97,6634460.065
124,2013-06-17 14:00,759,168.253912,-12274389.77,6634656.819,-12274320.75,6634482.903,-12274327.43,6634451.282
125,2013-06-17 15:00,754,168.296076,-12273993.47,6635855.007,-12274389.77,6634656.819,-12274320.75,6634482.903
126,2013-06-17 16:00,750,168.333241,-12274930.78,6634590.063,-12273993.47,6635855.007,-12274389.77,6634656.819
127,2013-06-17 17:00,741,168.375336,-12274592.37,6634665.602,-12274930.78,6634590.063,-12273993.47,6635855.007
128,2013-06-17 18:00,760,168.417315,-12275630.98,6635282.244,-12274592.37,6634665.602,-12274930.78,6634590.063
129,2013-06-17 19:00,761,168.460174,-12275295.91,6635083.719,-12275630.98,6635282.244,-12274592.37,6634665.602
130,2013-06-17 20:00,763,168.501412,-12275859.18,6634741.143,-12275295.91,6635083.719,-12275630.98,6635282.244
131,2013-06-17 21:00,769,168.541389,-12274196.07,6634391.554,-12275859.18,6634741.143,-12275295.91,6635083.719
132,2013-06-17 22:00,783,168.583565,-12274438.75,6635691.607,-12274196.07,6634391.554,-12275859.18,6634741.143
133,2013-06-17 23:00,758,168.626678,-12274462.12,6635484.288,-12274438.75,6635691.607,-12274196.07,6634391.554
134,2013-06-18 0:00,762,168.666377,-12275056.57,6635633.628,-12274462.12,6635484.288,-12274438.75,6635691.607
135,2013-06-18 1:00,755,168.708866,-12274929.67,6635454.42,-12275056.57,6635633.628,-12274462.12,6635484.288
136,2013-06-18 2:00,755,168.749514,-12274830.59,6635486.045,-12274929.67,6635454.42,-12275056.57,6635633.628
137,2013-06-18 3:00,731,168.792454,-12274388.65,6634651.548,-12274830.59,6635486.045,-12274929.67,6635454.42
140,2013-06-18 7:00,781,168.968356,-12273616.1,6635463.205,-12273613.87,6635463.205,-12274183.83,6635452.663
141,2013-06-18 8:00,781,168.999005,-12273611.64,6635466.719,-12273616.1,6635463.205,-12273613.87,6635463.205
144,2013-06-18 13:00,767,169.200787,-12274194.96,6634897.496,-12274201.64,6634885.199,-12274199.41,6634878.172
145,2013-06-18 14:00,768,169.248194,-12275439.51,6636754.641,-12274194.96,6634897.496,-12274201.64,6634885.199
146,2013-06-18 15:00,769,169.291123,-12274966.4,6634419.661,-12275439.51,6636754.641,-12274194.96,6634897.496
147,2013-06-18 16:00,763,169.334352,-12275691.09,6635447.393,-12274966.4,6634419.661,-12275439.51,6636754.641
148,2013-06-18 17:00,805,169.374711,-12274820.57,6635695.121,-12275691.09,6635447.393,-12274966.4,6634419.661
149,2013-06-18 18:00,805,169.416887,-12271786,6635789.998,-12274820.57,6635695.121,-12275691.09,6635447.393
150,2013-06-18 19:00,754,169.458171,-12274772.71,6635361.304,-12271786,6635789.998,-12274820.57,6635695.121
151,2013-06-18 20:00,787,169.499676,-12275313.72,6634707.764,-12274772.71,6635361.304,-12271786,6635789.998
152,2013-06-18 21:00,738,169.541852,-12274678.08,6634698.981,-12275313.72,6634707.764,-12274772.71,6635361.304
153,2013-06-18 22:00,746,169.58316,-12274250.62,6634677.9,-12274678.08,6634698.981,-12275313.72,6634707.764
154,2013-06-18 23:00,748,169.623623,-12274243.94,6634676.143,-12274250.62,6634677.9,-12274678.08,6634698.981
155,2013-06-19 0:00,754,169.665984,-12275154.53,6634570.738,-12274243.94,6634676.143,-12274250.62,6634677.9
156,2013-06-19 1:00,757,169.706979,-12275147.85,6634973.039,-12275154.53,6634570.738,-12274243.94,6634676.143
157,2013-06-19 2:00,741,169.74912,-12275281.44,6635893.661,-12275147.85,6634973.039,-12275154.53,6634570.738
158,2013-06-19 3:00,754,169.785197,-12275174.57,6634516.28,-12275281.44,6635893.661,-12275147.85,6634973.039
159,2013-06-19 4:00,755,169.84228,-12275469.57,6635108.315,-12275174.57,6634516.28,-12275281.44,6635893.661
165,2013-06-19 16:00,752,170.338843,-12275062.14,6634502.226,-12275183.47,6634523.307,-12274537.82,6634971.282
166,2013-06-19 17:00,785,170.373819,-12273932.24,6635334.951,-12275062.14,6634502.226,-12275183.47,6634523.307
167,2013-06-19 18:00,788,170.416655,-12276819.87,6633174.258,-12273932.24,6635334.951,-12275062.14,6634502.226
168,2013-06-19 19:00,748,170.458021,-12275055.46,6634512.767,-12276819.87,6633174.258,-12273932.24,6635334.951
169,2013-06-19 20:00,749,170.500231,-12274990.89,6635461.448,-12275055.46,6634512.767,-12276819.87,6633174.258
170,2013-06-19 21:00,759,170.54162,-12275574.21,6636993.623,-12274990.89,6635461.448,-12275055.46,6634512.767
171,2013-06-19 22:00,811,170.583241,-12275836.92,6634878.172,-12275574.21,6636993.623,-12274990.89,6635461.448
172,2013-06-19 23:00,756,170.624873,-12275152.3,6635631.871,-12275836.92,6634878.172,-12275574.21,6636993.623
173,2013-06-20 0:00,756,170.666528,-12274979.76,6635419.282,-12275152.3,6635631.871,-12275836.92,6634878.172
174,2013-06-20 1:00,765,170.707743,-12276057.33,6634542.631,-12274979.76,6635419.282,-12275152.3,6635631.871
175,2013-06-20 2:00,753,170.748553,-12275026.51,6635482.531,-12276057.33,6634542.631,-12274979.76,6635419.282
176,2013-06-20 3:00,750,170.793229,-12275059.91,6634502.226,-12275026.51,6635482.531,-12276057.33,6634542.631
179,2013-06-20 7:00,765,170.95728,-12275471.79,6635099.531,-12275472.9,6635101.288,-12275474.02,6635099.531
184,2013-06-20 14:00,764,171.250891,-12274447.65,6635120.613,-12273866.56,6634711.278,-12274394.22,6634672.629
185,2013-06-20 15:00,769,171.291667,-12274379.75,6635043.312,-12274447.65,6635120.613,-12273866.56,6634711.278
186,2013-06-20 16:00,750,171.337905,-12275143.4,6635740.803,-12274379.75,6635043.312,-12274447.65,6635120.613
187,2013-06-20 17:00,779,171.37544,-12275898.15,6634618.17,-12275143.4,6635740.803,-12274379.75,6635043.312
188,2013-06-20 18:00,805,171.416505,-12275882.56,6634258.047,-12275898.15,6634618.17,-12275143.4,6635740.803
189,2013-06-20 19:00,759,171.457986,-12276478.12,6633118.052,-12275882.56,6634258.047,-12275898.15,6634618.17
190,2013-06-20 20:00,801,171.499954,-12274200.52,6635484.288,-12276478.12,6633118.052,-12275882.56,6634258.047
191,2013-06-20 21:00,760,171.541354,-12276308.91,6633985.769,-12274200.52,6635484.288,-12276478.12,6633118.052
192,2013-06-20 22:00,752,171.583067,-12275848.05,6636359.282,-12276308.91,6633985.769,-12274200.52,6635484.288
193,2013-06-20 23:00,810,171.624711,-12274703.69,6634716.548,-12275848.05,6636359.282,-12276308.91,6633985.769
194,2013-06-21 0:00,760,171.666493,-12276616.16,6633692.421,-12274703.69,6634716.548,-12275848.05,6636359.282
195,2013-06-21 1:00,768,171.708889,-12275273.64,6634486.416,-12276616.16,6633692.421,-12274703.69,6634716.548
196,2013-06-21 2:00,753,171.749942,-12274809.44,6635428.067,-12275273.64,6634486.416,-12276616.16,6633692.421
197,2013-06-21 3:00,797,171.789201,-12273852.09,6635385.901,-12274809.44,6635428.067,-12275273.64,6634486.416
198,2013-06-21 4:00,756,171.824722,-12274144.86,6635124.127,-12273852.09,6635385.901,-12274809.44,6635428.067
199,2013-06-21 5:00,763,171.867037,-12273836.51,6635264.675,-12274144.86,6635124.127,-12273852.09,6635385.901
200,2013-06-21 6:00,778,171.911007,-12273611.64,6635489.559,-12273836.51,6635264.675,-12274144.86,6635124.127
201,2013-06-21 7:00,789,171.964769,-12273610.53,6635487.802,-12273611.64,6635489.559,-12273836.51,6635264.675
202,2013-06-21 8:00,784,171.992708,-12273610.53,6635480.774,-12273610.53,6635487.802,-12273611.64,6635489.559
205,2013-06-21 12:00,753,172.164294,-12275256.94,6635080.205,-12274546.73,6634973.039,-12273614.98,6635466.719
206,2013-06-21 13:00,758,172.20353,-12275259.17,6635067.908,-12275256.94,6635080.205,-12274546.73,6634973.039
207,2013-06-21 14:00,773,172.252465,-12273603.85,6631906.212,-12275259.17,6635067.908,-12275256.94,6635080.205
208,2013-06-21 15:00,764,172.29037,-12275275.87,6634468.849,-12273603.85,6631906.212,-12275259.17,6635067.908
209,2013-06-21 16:00,851,172.328368,-12275407.23,6633348.146,-12275275.87,6634468.849,-12273603.85,6631906.212
210,2013-06-21 17:00,799,172.375046,-12272637.6,6635366.575,-12275407.23,6633348.146,-12275275.87,6634468.849
211,2013-06-21 18:00,754,172.417963,-12275304.81,6635744.317,-12272637.6,6635366.575,-12275407.23,6633348.146
212,2013-06-21 19:00,757,172.457326,-12275895.92,6634827.225,-12275304.81,6635744.317,-12272637.6,6635366.575
213,2013-06-21 20:00,755,172.499641,-12274414.26,6634885.199,-12275895.92,6634827.225,-12275304.81,6635744.317
214,2013-06-21 21:00,767,172.541979,-12275281.44,6636392.667,-12274414.26,6634885.199,-12275895.92,6634827.225
215,2013-06-21 22:00,760,172.583322,-12275797.96,6636770.456,-12275281.44,6636392.667,-12274414.26,6634885.199
216,2013-06-21 23:00,749,172.624803,-12274409.8,6634648.035,-12275797.96,6636770.456,-12275281.44,6636392.667
217,2013-06-22 0:00,756,172.667303,-12274907.4,6636243.314,-12274409.8,6634648.035,-12275797.96,6636770.456
218,2013-06-22 1:00,768,172.705903,-12274568.99,6635320.896,-12274907.4,6636243.314,-12274409.8,6634648.035
219,2013-06-22 2:00,777,172.754167,-12274026.86,6635110.072,-12274568.99,6635320.896,-12274907.4,6636243.314
220,2013-06-22 3:00,798,172.791238,-12272378.22,6635659.982,-12274026.86,6635110.072,-12274568.99,6635320.896
221,2013-06-22 4:00,774,172.834109,-12274183.83,6635428.067,-12272378.22,6635659.982,-12274026.86,6635110.072
222,2013-06-22 5:00,774,172.865428,-12274188.28,6635415.768,-12274183.83,6635428.067,-12272378.22,6635659.982
225,2013-06-22 9:00,777,173.037083,-12274181.6,6635447.393,-12274193.84,6635440.365,-12274192.73,6635445.636
226,2013-06-22 10:00,777,173.076157,-12274192.73,6635440.365,-12274181.6,6635447.393,-12274193.84,6635440.365
227,2013-06-22 11:00,780,173.118044,-12274380.86,6635059.123,-12274192.73,6635440.365,-12274181.6,6635447.393
228,2013-06-22 12:00,779,173.159988,-12274036.88,6635363.061,-12274380.86,6635059.123,-12274192.73,6635440.365
229,2013-06-22 13:00,758,173.202303,-12274403.12,6634658.575,-12274036.88,6635363.061,-12274380.86,6635059.123
230,2013-06-22 14:00,781,173.25125,-12274435.41,6635682.823,-12274403.12,6634658.575,-12274036.88,6635363.061
231,2013-06-22 15:00,793,173.293252,-12273830.94,6635104.801,-12274435.41,6635682.823,-12274403.12,6634658.575
232,2013-06-22 16:00,782,173.334352,-12273677.32,6635563.35,-12273830.94,6635104.801,-12274435.41,6635682.823
233,2013-06-22 17:00,827,173.374699,-12274812.78,6635229.538,-12273677.32,6635563.35,-12273830.94,6635104.801
234,2013-06-22 18:00,1146,173.416343,-12274751.55,6635702.149,-12274812.78,6635229.538,-12273677.32,6635563.35
235,2013-06-22 19:00,799,173.458264,-12275193.49,6635522.94,-12274751.55,6635702.149,-12274812.78,6635229.538
236,2013-06-22 20:00,1207,173.500278,-12273620.55,6635301.57,-12275193.49,6635522.94,-12274751.55,6635702.149
237,2013-06-22 21:00,755,173.541644,-12275451.75,6635714.448,-12273620.55,6635301.57,-12275193.49,6635522.94
238,2013-06-22 22:00,858,173.583021,-12274084.75,6637074.457,-12275451.75,6635714.448,-12273620.55,6635301.57
239,2013-06-22 23:00,774,173.624826,-12274517.78,6632276.77,-12274084.75,6637074.457,-12275451.75,6635714.448
240,2013-06-23 0:00,738,173.667292,-12274723.72,6635085.476,-12274517.78,6632276.77,-12274084.75,6637074.457
241,2013-06-23 1:00,744,173.707697,-12276372.37,6635570.378,-12274723.72,6635085.476,-12274517.78,6632276.77
242,2013-06-23 2:00,746,173.74912,-12274398.67,6634662.089,-12276372.37,6635570.378,-12274723.72,6635085.476
243,2013-06-23 3:00,754,173.789965,-12274406.46,6634660.332,-12274398.67,6634662.089,-12276372.37,6635570.378
244,2013-06-23 4:00,761,173.831157,-12274325.2,6634937.903,-12274406.46,6634660.332,-12274398.67,6634662.089
245,2013-06-23 5:00,767,173.879213,-12274186.05,6635452.663,-12274325.2,6634937.903,-12274406.46,6634660.332
246,2013-06-23 6:00,773,173.907963,-12274178.26,6635435.094,-12274186.05,6635452.663,-12274325.2,6634937.903
247,2013-06-23 7:00,778,173.966968,-12274182.71,6635438.608,-12274178.26,6635435.094,-12274186.05,6635452.663
248,2013-06-23 8:00,783,173.997685,-12274178.26,6635436.851,-12274182.71,6635438.608,-12274178.26,6635435.094
249,2013-06-23 9:00,780,174.031563,-12274182.71,6635436.851,-12274178.26,6635436.851,-12274182.71,6635438.608
252,2013-06-23 16:00,820,174.333171,-12274882.91,6635125.883,-12274976.42,6636037.737,-12273775.28,6632122.223
253,2013-06-23 17:00,813,174.37537,-12275417.24,6634511.01,-12274882.91,6635125.883,-12274976.42,6636037.737
254,2013-06-23 18:00,764,174.416435,-12278877.05,6636487.552,-12275417.24,6634511.01,-12274882.91,6635125.883
255,2013-06-23 19:00,757,174.459711,-12274501.09,6634927.362,-12278877.05,6636487.552,-12275417.24,6634511.01
256,2013-06-23 20:00,752,174.49831,-12275136.72,6634967.769,-12274501.09,6634927.362,-12278877.05,6636487.552
257,2013-06-23 21:00,759,174.541806,-12275280.32,6635087.233,-12275136.72,6634967.769,-12274501.09,6634927.362
258,2013-06-23 22:00,754,174.583044,-12274417.6,6634871.145,-12275280.32,6635087.233,-12275136.72,6634967.769
259,2013-06-23 23:00,751,174.624907,-12274847.29,6635533.482,-12274417.6,6634871.145,-12275280.32,6635087.233
260,2013-06-24 0:00,1012,174.666296,-12275405,6635220.754,-12274847.29,6635533.482,-12274417.6,6634871.145
261,2013-06-24 1:00,756,174.707975,-12274767.14,6635405.227,-12275405,6635220.754,-12274847.29,6635533.482
262,2013-06-24 2:00,748,174.748738,-12274791.63,6635401.713,-12274767.14,6635405.227,-12275405,6635220.754
263,2013-06-24 3:00,779,174.794433,-12273360.06,6636204.658,-12274791.63,6635401.713,-12274767.14,6635405.227
264,2013-06-24 4:00,806,174.825359,-12271782.66,6635088.99,-12273360.06,6636204.658,-12274791.63,6635401.713
265,2013-06-24 5:00,815,174.873403,-12271779.32,6635094.26,-12271782.66,6635088.99,-12273360.06,6636204.658
266,2013-06-24 6:00,816,174.926725,-12271773.76,6635094.26,-12271779.32,6635094.26,-12271782.66,6635088.99
267,2013-06-24 7:00,815,174.954954,-12271779.32,6635085.476,-12271773.76,6635094.26,-12271779.32,6635094.26
270,2013-06-24 11:00,814,175.120509,-12274513.33,6634751.683,-12271781.55,6635096.017,-12271781.55,6635092.503
271,2013-06-24 12:00,788,175.159699,-12274375.29,6635593.218,-12274513.33,6634751.683,-12271781.55,6635096.017
272,2013-06-24 13:00,770,175.199051,-12274402.01,6634651.548,-12274375.29,6635593.218,-12274513.33,6634751.683
273,2013-06-24 14:00,759,175.248507,-12275548.6,6635213.726,-12274402.01,6634651.548,-12274375.29,6635593.218
274,2013-06-24 15:00,754,175.292164,-12275909.28,6634832.495,-12275548.6,6635213.726,-12274402.01,6634651.548
275,2013-06-24 16:00,9507,175.33375,-12275787.94,6634326.557,-12275909.28,6634832.495,-12275548.6,6635213.726
276,2013-06-24 17:00,751,175.374977,-12275527.45,6636188.844,-12275787.94,6634326.557,-12275909.28,6634832.495
277,2013-06-24 18:00,754,175.416586,-12275128.93,6635775.942,-12275527.45,6636188.844,-12275787.94,6634326.557
278,2013-06-24 19:00,743,175.458484,-12274621.31,6634727.089,-12275128.93,6635775.942,-12275527.45,6636188.844
279,2013-06-24 20:00,791,175.499942,-12273504.78,6635535.239,-12274621.31,6634727.089,-12275128.93,6635775.942
280,2013-06-24 21:00,789,175.546192,-12273274.34,6635575.648,-12273504.78,6635535.239,-12274621.31,6634727.089
281,2013-06-24 22:00,763,175.58515,-12274406.46,6634658.575,-12273274.34,6635575.648,-12273504.78,6635535.239
282,2013-06-24 23:00,766,175.62478,-12274240.6,6635308.597,-12274406.46,6634658.575,-12273274.34,6635575.648
