,easting,northing,xprev,yprev,xprevprev,yprevprev,jday
60,-994572.8148,9044959.13,-993242.5766,9047616.718,-989539.3105,9046913.431,212.9583333
61,-981433.7728,9036559.489,-981994.2489,9031694.411,-985374.619,9030017.473,233.9583333
62,-984590.9517,9036011.703,-981433.7728,9036559.489,-981994.2489,9031694.411,234.9583333
63,-982069.3131,9031813.993,-984590.9517,9036011.703,-981433.7728,9036559.489,235.9583333
64,-995825.547,9031935.087,-982069.3131,9031813.993,-984590.9517,9036011.703,236.9583333
65,-999359.9528,9028522.075,-995825.547,9031935.087,-982069.3131,9031813.993,237.9583333
66,-998610.6316,9032621.404,-999359.9528,9028522.075,-995825.547,9031935.087,238.9583333
67,-997392.7318,9039727.677,-998610.6316,9032621.404,-999359.9528,9028522.075,239.9583333
68,-985854.8078,9054996.795,-989439.9448,9052193.907,-996844.3534,9046796.455,243.9583333
69,-983489.5713,9055403.694,-985854.8078,9054996.795,-989439.9448,9052193.907,244.9583333
70,-987453.6696,9049109.24,-983489.5713,9055403.694,-985854.8078,9054996.795,245.9583333
71,-990651.8125,9053950.279,-987453.6696,9049109.24,-983489.5713,9055403.694,246.9583333
72,-991396.9252,9036648.047,-987549.1829,9043541.729,-981565.8022,9046379.969,254.9583333
73,-997892.3797,9031429.697,-991396.9252,9036648.047,-987549.1829,9043541.729,255.9583333
74,-981621.5148,9049738.242,-986128.7984,9049610.935,-992111.6833,9047326.997,261.9583333
75,-982010.2538,9048661.885,-981621.5148,9049738.242,-986128.7984,9049610.935,262.9583333
76,-981562.4504,9046377.321,-978525.9537,9040794.102,-981562.4504,9046377.321,266.9583333
77,-981580.3727,9051804.873,-981562.4504,9046377.321,-978525.9537,9040794.102,267.9583333
78,-985151.6427,9047452.321,-981580.3727,9051804.873,-981562.4504,9046377.321,268.9583333
79,-982004.4857,9048855.002,-985151.6427,9047452.321,-981580.3727,9051804.873,269.9583333
80,-980940.4676,9045703.756,-982004.4857,9048855.002,-985151.6427,9047452.321,270.9583333
81,-981336.0419,9046608.798,-980940.4676,9045703.756,-982004.4857,9048855.002,271.9583333
82,-981563.1391,9046362.667,-981336.0419,9046608.798,-980940.4676,9045703.756,272.9583333
83,-983486.5168,9055188.047,-981563.1391,9046362.667,-981336.0419,9046608.798,273.9583333
