,easting,northing,xprev,yprev,xprevprev,yprevprev,JUL
1546,155454.11,7173371.83,155454.11,7173371.83,155280.72,7174571.71,85
1548,155129.94,7172439.90,155129.94,7172439.90,155454.11,7173371.83,86
1551,154998.90,7180906.45,155377.43,7179216.97,155091.79,7178189.42,94
1552,155359.37,7179230.01,154998.90,7180906.45,155377.43,7179216.97,95
1553,155125.57,7179096.22,155359.37,7179230.01,154998.90,7180906.45,96
1554,154958.26,7179018.96,155125.57,7179096.22,155359.37,7179230.01,97
1555,158220.11,7179805.25,154958.26,7179018.96,155125.57,7179096.22,98
1556,156501.79,7180728.71,158220.11,7179805.25,154958.26,7179018.96,99
1557,150546.63,7179095.16,156501.79,7180728.71,158220.11,7179805.25,100
1558,152538.38,7178295.71,150546.63,7179095.16,156501.79,7180728.71,101
1559,151943.41,7178641.00,152538.38,7178295.71,150546.63,7179095.16,102
1560,152120.71,7178716.42,151943.41,7178641.00,152538.38,7178295.71,103
1561,153982.57,7179375.01,152120.71,7178716.42,151943.41,7178641.00,104
1562,162425.08,7184603.75,153982.57,7179375.01,152120.71,7178716.42,105
1563,162644.90,7184328.21,162425.08,7184603.75,153982.57,7179375.01,106
1564,162684.37,7184321.02,162644.90,7184328.21,162425.08,7184603.75,107
1565,162620.68,7181171.71,162684.37,7184321.02,162644.90,7184328.21,108
1566,162313.10,7180658.41,162620.68,7181171.71,162684.37,7184321.02,109
1567,164912.88,7185820.12,162313.10,7180658.41,162620.68,7181171.71,110
1568,166671.32,7192029.34,164912.88,7185820.12,162313.10,7180658.41,111
1569,166279.17,7191913.97,166671.32,7192029.34,164912.88,7185820.12,112
1570,166102.58,7192201.36,166279.17,7191913.97,166671.32,7192029.34,113
1571,179326.34,7220522.89,166102.58,7192201.36,166279.17,7191913.97,114
1572,185853.23,7233177.19,179326.34,7220522.89,166102.58,7192201.36,115
1573,183085.83,7244033.40,185853.23,7233177.19,179326.34,7220522.89,116
1574,198343.09,7255351.54,183085.83,7244033.40,185853.23,7233177.19,117
1575,220913.16,7262927.27,198343.09,7255351.54,183085.83,7244033.40,118
1576,240568.06,7255631.79,220913.16,7262927.27,198343.09,7255351.54,119
1577,252332.89,7255000.43,240568.06,7255631.79,220913.16,7262927.27,120
1578,277136.17,7260340.13,252332.89,7255000.43,240568.06,7255631.79,121
1579,294039.96,7267969.97,277136.17,7260340.13,252332.89,7255000.43,122
1580,317246.25,7288888.19,294039.96,7267969.97,277136.17,7260340.13,123
1581,342916.95,7332174.93,317246.25,7288888.19,294039.96,7267969.97,124
1582,363126.57,7365719.49,342916.95,7332174.93,317246.25,7288888.19,125
1583,366617.16,7392415.77,363126.57,7365719.49,342916.95,7332174.93,126
1584,376185.99,7410086.61,366617.16,7392415.77,363126.57,7365719.49,127
1585,375806.42,7429830.65,376185.99,7410086.61,366617.16,7392415.77,128
1586,383217.98,7449619.23,375806.42,7429830.65,376185.99,7410086.61,129
1587,397168.14,7472767.42,383217.98,7449619.23,375806.42,7429830.65,130
1588,411913.53,7498544.65,397168.14,7472767.42,383217.98,7449619.23,131
1589,418387.91,7512153.22,411913.53,7498544.65,397168.14,7472767.42,132
1590,426064.15,7524472.10,418387.91,7512153.22,411913.53,7498544.65,133
1591,432255.57,7534077.61,426064.15,7524472.10,418387.91,7512153.22,134
1592,443815.57,7552289.40,432255.57,7534077.61,426064.15,7524472.10,135
1593,454156.54,7580095.20,443815.57,7552289.40,432255.57,7534077.61,136
1594,458542.79,7615231.34,454156.54,7580095.20,443815.57,7552289.40,137
1595,455203.14,7629081.78,458542.79,7615231.34,454156.54,7580095.20,138
1596,457053.80,7637223.55,455203.14,7629081.78,458542.79,7615231.34,139
1597,462880.41,7642207.19,457053.80,7637223.55,455203.14,7629081.78,140
1598,475561.48,7633563.56,462880.41,7642207.19,457053.80,7637223.55,141
1599,476259.31,7637432.31,475561.48,7633563.56,462880.41,7642207.19,142
1600,475508.42,7637008.93,476259.31,7637432.31,475561.48,7633563.56,143
